117,VS Graz-Liebenau,+43(0)3168726810,8,117
4,ISOP Externe Hauptschule,+43(0)316381354,1,4
22,Europahaus Graz,+43(0)316323554888,1,22
76,BG/BRG Graz; Seebachergasse,+43(0)316322059,5,76
153,VS Graz-Nibelungen,+43(0)3168727035,8,153
240,FH Joanneum; Produktionstechnik u. Organisation,+43(0)31654536900,15,240
166,HS Graz-Dr. Renner,+43(0)3168726875,10,166
267,TU-Graz; Institut für Papier-; Zellstoff- u. Fasertechnik,+43(0)3168730,13,267
23,WIFI Steiermark,+43(0)3166021234,1,23
155,VS Graz-Schönau,+43(0)3168726840,8,155
268,FH Joanneum; Physiotherapie,+43(0)31654536540,15,268
221,KUG Institut 9 Schauspiel,+43(0)31638930903093,16,221
16,Evangelisches Bildungswerk Steiermark,+43(0)316837245,1,16
273,FH Joanneum; eHealth,+43(0)31654536500,15,273
220,KUG Institut 7 Gesang; Lied; Oratorium,"",16,220
239,TU-Graz; Fakultät für Informatik; ICG,+43(0)3168735011,13,239
111,VS Graz-Waltendorf,+43(0)3168727060,8,111
194,TU-Graz; ISD und Institut für Human-Computer Interfaces,+43(0)3168735301,13,194
241,Uni-Graz; Institut für Schulpädagogik,+43(0)3163802553,17,241
97,HS Graz-Webling,+43(0)3168726965,10,97
57,BBA Graz,+43(0)316284269,3,57
144,HS Graz-Albert Schweitzer,+43(0)3168726755,10,144
174,TU-Graz; Institute der Falkultät für Bauingenieurwissenschaften,+43(0)3168734341,13,174
219,KUG Institut 16 Jazzforschung,+43(0)3163893160,16,219
28,Inlingua-Language Competence Center,+43(0)316824477,1,28
1,Bildungsnetzwerk Steiermark,"",1,1
182,FH Joanneum; Ausstellungs- u. Museumsdesign,+43(0)31654538600,15,182
185,FH Joanneum; Journalismuas und Public Relations (PR),+43(0)31654538660,15,185
198,Uni-Graz; Fakultät der Sozial- und Wirtschaftswissenschaften,+43(0)316380,17,198
266,TU-Graz; Institut für Molekulare Biotechnologie,+43(0)3168734072,13,266
84,BHAK/BHAS Monsberger,+43(0)316463868,4,84
113,VS Graz-St. Veit,+43(0)3168727090,8,113
106,HS Graz-Karl Morre,+43(0)3168726975,10,106
149,Private VS Ingrid Holzer,"",8,149
147,VS Graz-Hirten,+43(0)3168727070,8,147
271,Uni-Graz; Institut für Erziehungswissenschaften,+43(0)3163802535,17,271
87,BG/BRG Graz; Klusemannstraße,+43(0)316273848,5,87
115,VS Graz-Mariatrost,+43(0)3168726880,8,115
178,MED Institut für Humangenetik,+43(0)3163804111,14,178
246,MED Institut für Pathologie,+43(0)3163804400,14,246
261,FH Joanneum; Luftfahrt/Aviation,+43(0)31654536400,15,261
51,FS w.Berufe Caritas,+43(0)3168015435,2,51
105,HS Graz-Straßgang,+43(0)3168726955,10,105
269,MED Institut für Pflegewissenschaften,+43(0)31638572064,14,269
238,Kirchlich (kath.) Pädagogische Hochschule,+43(0)316581670,18,238
5,Wegener Zentrum für Klima u. Globalen Wandel der Uni Graz,+43(0)3163808430,1,5
143,VS Graz-Berliner Ring,+43(0)3168726870,8,143
212,Uni-Graz; HPR; Zentrum für Bewegungswissenschaften u. sportmedizinische Forschung,+43(0)3163803900,17,212
150,HS Graz-St. Leonhard,+43(0)3168726715,10,150
224,Uni-Graz; Institut für Systemwissenschaften,+43(0)3163803238,17,224
227,KUG Institut 8 Jazz,"",16,227
59,BG/BRG Graz; Carnerigasse,+43(0)316683433,5,59
27,Ak-Bildungszentrum Otto Möbes Schule,"",1,27
119,VS Graz-Karl Morre,+43(0)3168726970,8,119
223,Uni-Graz; Institut für Sportwissenschaften,+43(0)3163802325,17,223
274,FH Joanneum; Biomedizinische Analytik,+43(0)31654536660,15,274
121,VS Graz-Algersdorf,+43(0)3168726760,8,121
245,KUG Institut 17 Elektronische Musik und Akustik,+43(0)3163893170,16,245
162,Landessonderschule für körperbeh. und mehrfach behinderte Kinder,+43(0)316672136,11,162
206,TU-Graz; Institute der Fakultät für Technische Mathematik u. Technische Physik,+43(0)3168736475,13,206
79,Gesundheits- u. Krankenpflegeschule,+43(0)3163852431,3,79
75,BRG Graz; Keplerstraße,+43(0)316714712,5,75
140,HS Graz-Ferdinandeum,+43(0)3168726915,10,140
161,Priv. VS; HS; SS f. sehbeh. u. blinde Kinder (SPZ),+43(0)316327075,11,161
96,HS Graz-St. Johann,+43(0)3168726705,10,96
197,KUG Institut 14 Musikästhetik,+43(0)3163893140,16,197
199,TU-Graz; Fakultät für Informatik; IICM; CGV,+43(0)3168735613,13,199
188,TU-Graz; Institute der Fakultät für Maschinenbau u.Wirtschaftswissen,+43(0)3168737361,13,188
12,Volksbildungswerk,+43(0)316321020,1,12
25,Urania,+43(0)3168256880,1,25
120,VS Graz-Neufeld,+43(0)3168727010,8,120
151,HS Graz-Andritz,+43(0)3168726865,10,151
40,BG Graz; Georgigasse (GIBS),+43(0)316771050,5,40
193,TU-Graz; Institute der Fakultät für Maschinenbau und Wirtschaftswissen,+43(0)3168737111,13,193
210,FH Joanneum; Architektur und Projektmanagement,+43(0)31654538200,15,210
35,LA für Ehe- u. Familienberatung,+43(0)3168041,3,35
139,Regenbogenschule - Förderung alternativer Lernmethoden in Graz,"",8,139
253,KUG Institut 1 Komposition; Musiktheorie; Musikgeschichte und Dirigieren,+43(0)3163893010,16,253
211,KUG Institut 15 Alte Musik und Aufführungspraxis,+43(0)3163893150,16,211
233,MED Institut fuer Biophysik,+43(0)3163804135,14,233
214,Päd. Hochschule Stmk.,+43(0)31680671601,18,214
116,VS Graz-Leopoldinum,+43(0)3168726790,8,116
134,VS Graz-Puntigam,+43(0)3168726890,8,134
10,Institut CEF_Dr. Christian Ernst Fuchs; GmbH,"",1,10
228,KUG Institut 11 Bühnengestaltung,"",16,228
11,Montagsakademie; Zentrum für Weiterbildung,+43(0)3163801104,1,11
13,iilo - Institut für individuelle Leistungsoptimierung,+43(0)316818723,1,13
15,VHS Volkshochschule Graz Stadt,"",1,15
68,Privatgymnasium Sacre Coeur,+43(0)31682800612,5,68
50,HLA Techn. Chemie u. UmwelttechnikKolleg,+43(0)31638115316,7,50
63,BG/BRG Graz; Lichtenfelsgasse,+43(0)316321226,5,63
74,BDV Benko 3-jährig,+43(0)316822172,4,74
78,BG/BRG Graz; Dreihackengasse,+43(0)316712246,5,78
164,Freie Waldorfschule,+43(0)316402606,10,164
42,BORG Graz; Monsbergergasse,+43(0)316463501,5,42
34,FS Alt-Grottenhof - Ekkehard Hauer Schule,+43(0)316281561,2,34
80,Psychiatr. Gesundheits- u. Krankenpflegeschule,+43(0)31621912470,2,80
56,Privatschule Uranschek,+43(0)316830246,4,56
88,Hauswirtschaftliche Schule - Odilien,+43(0)31632266726,2,88
159,Private VS der Schulschwestern Eggenberg,+43(0)316583341119,8,159
48,Privates ORG Schulschwestern,+43(0)316583341,5,48
230,TU-Graz; Institut der Fakultät für Technische Mathmatik u. Technische Physik,+43(0)3168738320,13,230
124,VS Graz-Andritz,+43(0)3168726730,8,124
244,Uni-Graz; Fakultät der Umwelt-Regional- u.Bildungswissenschaften,+43(0)3163808020,17,244
118,Praxis VS der Päd. Hochschule,+43(0)31680671222,8,118
8,Akademie für Neue Medien Wissenstransfer,+43(0)3163809100,1,8
183,FH Joanneum; Informationsmanagement,+43(0)31654538500,15,183
133,VS Graz-St. Johann,+43(0)3168726700,8,133
54,BHAK/BHAS Graz; Grazbachgasse,+43(0)3168294560,4,54
67,Private HLLH Schulschwestern,+43(0)316583341,2,67
191,TU-Graz; Institut für Holzbau und Holztechnologie,+43(0)3168734601,13,191
209,Uni-Graz; Fakultät der Naturwissenschaften,+43(0)3163805000,17,209
109,Private VS des Vereines Projektschule Graz,+43(0)316474250,8,109
232,TU-Graz; Institute der Fakultät für Elektrotechnik und Informationstechnik,+43(0)3168737251,13,232
39,FS St. Martin,+43(0)31628365553,2,39
138,HS Graz-Fröbel,+43(0)3168727075,10,138
218,TU-Graz; Fakultät für Informatik; IAIK,+43(0)3168735514,13,218
202,Uni-Graz; Karl-Franzens-Universität,+43(0)3163800,17,202
231,Uni-Graz; Fakultät der Rechtswissenschaften,+43(0)3163803160,17,231
20,Bildungshaus Raiffeisenhof,+43(0)31680507111,1,20
262,MED Institut für Molekularbiologie und Biochemie,+43(0)3163804200,14,262
71,HTBLVA Gösting (BULME),+43(0)31660810,7,71
85,Akademisches Gymnasium,+43(0)316814246,5,85
86,LA f. Sehbehinderte Odilien,+43(0)31632266726,7,86
203,FH Joanneum; Radiologietechnologie,+43(0)31654536570,15,203
243,KUG Institut 3 Saiteninstrumente,+43(0)3163893030,16,243
95,HS Graz-Kepler,+43(0)3168726935,10,95
180,MED Institut für Sozialmedizin und Epidemiologie,+43(0)3163804398,14,180
46,BG/BRG für Berufstätige,+43(0)316318899,5,46
44,Gesundheits- u. Krankenpflegeschule; Vorbereitung,+43(0)3163852600,3,44
154,VS Graz-Triester,+43(0)3168726850,8,154
53,Schule für med.-tech. Fachdienst,+43(0)31621912652,2,53
179,MED Institut für Hygiene; Mikrobiologie und Umweltmedizin,+43(0)3163804360,14,179
92,Private Realschule Graz-Webling,+43(0)3168726965,9,92
38,HBLA f. Mode und Bekleidungstechnik,+43(0)316821192,6,38
47,Kolleg für Sozialpädagogik,+43(0)31658167027,3,47
90,VS Graz-Bertha v. Suttner,+43(0)3168726750,8,90
30,VHS der Kammer für Arbeiter und Angestellte für Stmk.,+43(0)31677995000,1,30
89,VS Graz-Krones,+43(0)3168726980,8,89
181,FH Joanneum; Bank- und Versiucherungswirtschaft,+43(0)31654537100,15,181
165,VS Sacré Coeur,+43(0)31682800663,8,165
215,FH Joanneum; Fahrzeugtechnik,+43(0)31654538400,15,215
169,HS Graz-Puntigam,+43(0)3168726895,10,169
259,FH Joanneum; Management internat. Geschäftsproz.,+43(0)31654536800,15,259
73,BORG Dreierschützengasse,+43(0)316682385,5,73
251,FH Joanneum; Baumanagement und Ingenieurbau,+43(0)31654538200,15,251
52,LA für Sozialbetreuungsberufe; Diözese Graz-Seckau,+43(0)3168241510,3,52
